Time,Seed,Model,Value
0,1,control,0.01613876545171933
3,1,control,-0.00297043137706103
6,1,control,-0.00754086599221014
9,1,control,0.00769567707612583
12,1,control,0.00769254217877321
15,1,control,-0.00485868834616486
18,1,control,-0.01808467408624915
21,1,control,0.00370828142874143
24,1,control,-0.00822296632794589
27,1,control,-0.00392386983438613
30,1,control,-0.01573113400817431
33,1,control,-0.00336158395478695
36,1,control,0.01061224071697883
39,1,control,0.00256084782283729
42,1,control,0.00624722643729724
45,1,control,0.00252869811598229
48,1,control,-0.00517139187078149
0,10,control,0.04299425894131378
3,10,control,0.02327176398939077
6,10,control,0.02217506847036583
9,10,control,0.04449720247562484
12,10,control,0.03550695593787085
15,10,control,0.04386305431921892
18,10,control,0.03061021359744812
21,10,control,0.02548530967841409
24,10,control,0.03797119184866018
27,10,control,0.03409996112260752
30,10,control,0.03442991660819896
33,10,control,0.03874861236937807
36,10,control,0.03347568521336684
39,10,control,0.04535632494440036
42,10,control,0.04083851354736478
45,10,control,0.0410033790677766
48,10,control,0.03711486217101039
0,100,control,-0.0150676280514312
3,100,control,-0.02485232911390215
6,100,control,-0.01558224555779308
9,100,control,-0.02140354934438789
12,100,control,-0.02168293129114522
15,100,control,-0.01662086466799487
18,100,control,-0.0134535724363133
21,100,control,-0.01099842299609034
24,100,control,-0.00936674856369175
27,100,control,-0.00564789828643579
30,100,control,-0.01693175900622895
33,100,control,-0.01686382301487345
36,100,control,-0.01470271885361006
39,100,control,-0.02920988637734943
42,100,control,0.00397697928596478
45,100,control,-0.01295318084090096
48,100,control,-0.0179437876956377
0,11,control,-0.02400845090214221
3,11,control,-0.01266438575647294
6,11,control,-0.00907900352797758
9,11,control,-0.01298101788561134
12,11,control,-0.0099682655668763
15,11,control,-0.00673803842070967
18,11,control,-0.00426481548061925
21,11,control,-0.01110394156408048
24,11,control,-9.4634913205534e-4
27,11,control,-0.01706470778787966
30,11,control,0.00806642724897138
33,11,control,-0.00356298311519198
36,11,control,0.0043252876867255
39,11,control,0.00562513048015888
42,11,control,-0.00897348590250729
45,11,control,-0.01196044571179546
48,11,control,-0.00286245773154623
0,12,control,0.01943503386833598
3,12,control,0.01508143096137666
6,12,control,0.01509137277342192
9,12,control,0.02360209325047018
12,12,control,0.02996139588751341
15,12,control,0.03295556619214202
18,12,control,0.03324813725059553
21,12,control,0.02986762790091187
24,12,control,0.02707203615792235
27,12,control,0.00506352898487945
30,12,control,0.00728926259727243
33,12,control,7.1183102695861e-4
36,12,control,0.00955498217736115
39,12,control,0.00321893587455689
42,12,control,0.00868340962108112
45,12,control,0.01976759747140413
48,12,control,0.03001584194285307
0,13,control,0.00815519348479755
3,13,control,-0.00433630276148758
6,13,control,0.01732247131587681
9,13,control,6.233499351886923e-5
12,13,control,0.00415112744052359
15,13,control,-0.01691950268448738
18,13,control,-8.0800420524472e-4
21,13,control,-0.01690867094867339
24,13,control,0.00103629631575125
27,13,control,-0.01145043220272325
30,13,control,0.0030274046999176
33,13,control,0.00419705865194249
36,13,control,-0.00117010105175415
39,13,control,-0.00164863270479013
42,13,control,-0.01071771813268698
45,13,control,0.00439912658840621
48,13,control,-0.00129491362487829
0,14,control,-0.01924501282369221
3,14,control,-0.02143685054129278
6,14,control,-0.02036134975009592
9,14,control,-0.01166827468723318
12,14,control,-0.01384374530371259
15,14,control,-0.00903191975897261
18,14,control,-0.01781522323370584
21,14,control,-0.02142960715484376
24,14,control,-0.01766224298851792
27,14,control,-0.03425625186203106
30,14,control,-0.00137464771700461
33,14,control,-0.00991176156294744
36,14,control,-0.01794294817032365
39,14,control,-0.01883973912712564
42,14,control,-0.01036459994664761
45,14,control,-0.01933324475635145
48,14,control,-0.00190169413163416
0,15,control,8.6320358226776e-4
3,15,control,-0.01633572048813559
6,15,control,0.00156863954628255
9,15,control,-0.00116269377512915
12,15,control,0.01280824275942595
15,15,control,-0.01680804330815595
18,15,control,0.0042739355571534
21,15,control,-0.00298345099140719
